run_id,trial_number,timestamp,Batch_Configuration,automaton_id,num_automaton_states,num_automaton_edges,num_robots,num_ts_regions,total_computation_time_ms,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,task_allocation_memory_bytes,product_automaton_memory_bytes,product_automaton_nodes,product_automaton_edges,pruning_ratio,explored_product_ratio,tree_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
17,1,"2026-09-02 18:07:31",2,1,3,8,45,6,0.342,6,11,5,1,0,0,0,0,0.454545,0,268,9,0.2,0
18,1,"2026-09-02 18:07:31",2,2,6,14,45,6,1.909,11,23,12,1,0,0,0,0,0.521739,0,363,12,0.266667,0
19,1,"2026-09-02 18:07:31",2,3,10,58,45,6,1.742,19,51,32,2,0,0,0,0,0.627451,0,477,12,0.266667,0
20,1,"2026-09-02 18:07:34",2,4,16,142,45,6,7.893,38,188,150,9,0,0,0,0,0.797872,0,478,6,0.133333,0
21,1,"2026-09-02 18:07:34",2,5,20,200,45,6,5.631,39,111,72,2,0,0,0,0,0.648649,0,480,24,0.533333,0
22,1,"2026-09-02 18:07:35",2,6,27,226,45,6,8.317,53,153,100,6,0,0,0,0,0.653595,0,570,12,0.266667,0
23,1,"2026-09-02 18:07:35",2,7,38,252,45,6,11.794,70,165,95,1,0,0,0,0,0.575758,0,548,36,0.8,0
24,1,"2026-09-02 18:07:35",2,8,39,350,45,6,16.253,71,235,164,6,0,0,0,0,0.697872,0,474,12,0.266667,0
25,1,"2026-09-02 18:07:35",2,9,40,357,45,6,14.998,63,205,142,6,0,0,0,0,0.692683,0,305,18,0.4,0
26,1,"2026-09-02 18:07:35",2,10,43,378,45,6,16.289,66,216,150,6,0,0,0,0,0.694444,0,305,18,0.4,0
27,1,"2026-09-02 18:07:37",2,11,55,544,45,6,32.744,98,337,239,9,0,0,0,0,0.709199,0,1010,21,0.466667,0
28,1,"2026-09-02 18:07:42",2,12,61,598,45,6,36.828,104,359,255,9,0,0,0,0,0.710306,0,1010,21,0.466667,0
29,1,"2026-09-02 18:07:42",2,13,96,1458,45,6,71.444,101,410,309,6,0,0,0,0,0.753659,0,884,3,0.0666667,0
30,1,"2026-09-02 18:07:43",2,14,128,2187,45,6,136.643,134,588,454,7,0,0,0,0,0.772109,0,884,3,0.0666667,0
31,1,"2026-09-02 18:07:44",2,15,192,4374,45,6,377.203,198,908,710,7,0,0,0,0,0.781938,0,997,3,0.0666667,0
32,1,"2026-09-02 18:07:45",2,16,256,6561,45,6,749.681,263,1294,1031,8,0,0,0,0,0.796754,0,997,3,0.0666667,0
