run_id,trial_number,timestamp,automaton_id,num_robots,num_automaton_states,num_automaton_edges,num_robots,num_ts_regions,total_computation_time_ms,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,task_allocation_memory_bytes,product_automaton_memory_bytes,product_automaton_nodes,product_automaton_edges,pruning_ratio,explored_product_ratio,tree_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
17,1,"2026-09-02 17:44:43",1,6,3,8,6,6,0.176,6,11,5,1,0,0,0,0,0.454545,0,10,6,1,0
18,1,"2026-09-02 17:44:43",2,6,6,14,6,6,0.391,11,23,12,1,0,0,0,0,0.521739,0,32,6,1,0
19,1,"2026-09-02 17:44:43",3,6,10,58,6,6,1.137,19,51,32,2,0,0,0,0,0.627451,0,50,6,1,0
20,1,"2026-09-02 17:44:43",4,6,16,142,6,6,5.332,38,188,150,9,0,0,0,0,0.797872,0,21,6,1,0
21,1,"2026-09-02 17:44:43",5,6,20,200,6,6,4.723,39,111,72,2,0,0,0,0,0.648649,0,97,4,0.666667,0
22,1,"2026-09-02 17:44:43",6,6,27,226,6,6,6.818,53,153,100,6,0,0,0,0,0.653595,0,22,6,1,0
23,1,"2026-09-02 17:44:49",7,6,38,252,6,6,11.677,70,165,95,1,0,0,0,0,0.575758,0,78,6,1,0
24,1,"2026-09-02 17:44:50",8,6,39,350,6,6,13.638,71,235,164,6,0,0,0,0,0.697872,0,41,5,0.833333,0
25,1,"2026-09-02 17:45:01",9,6,40,357,6,6,12.612,63,205,142,6,0,0,0,0,0.692683,0,34,5,0.833333,0
26,1,"2026-09-02 17:45:01",10,6,43,378,6,6,14.597,66,216,150,6,0,0,0,0,0.694444,0,36,6,1,0
27,1,"2026-09-02 17:45:03",11,6,55,544,6,6,27.26,98,337,239,9,0,0,0,0,0.709199,0,53,6,1,0
28,1,"2026-09-02 17:45:06",12,6,61,598,6,6,30.735,104,359,255,9,0,0,0,0,0.710306,0,69,6,1,0
29,1,"2026-09-02 17:45:06",13,6,96,1458,6,6,62.988,101,410,309,6,0,0,0,0,0.753659,0,27,6,1,0
30,1,"2026-09-02 17:45:07",14,6,128,2187,6,6,123.291,134,588,454,7,0,0,0,0,0.772109,0,20,6,1,0
31,1,"2026-09-02 17:45:07",15,6,192,4374,6,6,345.921,198,908,710,7,0,0,0,0,0.781938,0,27,6,1,0
32,1,"2026-09-02 17:45:08",16,6,256,6561,6,6,689.66,263,1294,1031,8,0,0,0,0,0.796754,0,31,6,1,0
